web-scraper-order,web-scraper-start-url,clues
"1584747042-29","https://laxcrossword.com/2013/01/02","Across

1.  Bear’s place  DEN

4.  Mil. awards  DSCS

8.  Long-eared pooch  BEAGLE

14.  Stat for Clayton Kershaw  ERA

15.  “Nope”  UH-UH

16.  Rustler, e.g.  OUTLAW

17.  Emeril interjection  BAM!

18.  Shortest way to get there  DIREC(T ROUT)E

20.  Uintah and Ouray Reservation residents  UTES

22.  Disney’s “__ & Stitch”  LILO

23.  Key in  ENTER

24.  Good Samaritan parable source  GOSPEL O(F LUKE)

27.  Quash  NIX

28.  Sheep’s hangout  LEA

29.  They could happen  IFS

32.  Early gaming name  ATARI

34.  Judge’s reprieve  STAY

36.  Go __ great length  ON AT

37.  “That’s weird!” (or a comment about what’s hidden in 18-, 24-, 46- and 57-Across)  SOMETHING’S FISHY

40.  Tinged  HUED

41.  Start the pot  ANTE

42.  Dodge  ELUDE

43.  1776 and 2001, e.g.: Abbr.  YRS

44.  Forward pass path  ARC

45.  Cousteau’s workplace  MER

46.  Hot-rodder’s add-on  SU(PERCH)ARGER

52.  American competitor, as it was once known  USAIR

55.  Chewy candy brand  ROLO

56.  Memorable golfing Spaniard, familiarly  SEVE

57.  Annual Mexican celebration  CIN(CO D)E MAYO

60.  Trivial picking point  NIT

61.  Not exactly social butterflies  LONERS

62.  “I don’t give __!”  A RAP

63.  NFL snapper  CTR

64.  Jaguar or impala  ANIMAL

65.  Tweed’s caricaturist  NAST

66.  “Hurrah!”  YAY"
"1584746966-12","https://laxcrossword.com/2013/01/19","Across

1.  World Series components  POKER GAMES

11.  Unleashes  SICS

15.  Better  AMELIORATE

16.  Hardware item  T-NUT

17.  What good debaters pounce on  WEAK POINTS

18.  No longer tied up  ASEA

19.  FBI employees  AGTS

20.  Fills  SATES

21.  Too curious  NOSY

22.  Some grad students  TAS

23.  __-Tahoe Open: annual PGA Tour event  RENO

24.  USCG VIP  ADM

25.  File manager menu option  RENAME

27.  Ancient Aegean region west of Lydia  IONIA

30.  Sweet-talk  CAJOLE

33.  Decking  ADORNING

35.  “Hold your horses!”  ONE SECOND PLEASE!

37.  Ran out of clothes?  STREAKED

38.  Colors  TINCTS

39.  Memorable swimsuit model Cheryl  TIEGS

40.  Put a new cover on, as a book  REBIND

42.  Space shuttle astronaut Jemison  MAE

43.  It may be lost or saved  FACE

44.  Learning ctr.  SCH

47.  “Sunset Boulevard” genre  NOIR

49.  Better  AMEND

51.  TV’s “__-Team”  THE A

52.  Not much  A TAD

53.  Loving way to walk  HAND IN HAND

55.  Hypotenuse, e.g.  SIDE

56.  Helping people  ASSISTANTS

57.  Gp. with common goals  ASSN

58.  Least helpful, as a description  SKETCHIEST"
"1584746971-13","https://laxcrossword.com/2013/01/18","Across

1.  Socks for Clinton, e.g.  PET

4.  Mums’ relatives, in a way  GLADS

9.  Weber State University city  OGDEN

14.  Trouble  ADO

15.  Petrol purchase  LITRE

16.  __ Laredo, Mexico  NUEVO

17.  Bolshevik film festival fodder?  RED MOVIES (from “R-rated movies”)

19.  Key of the “Eroica” symphony  E-FLAT

20.  Grant  ENDOW

21.  With 51-Across, Puerto Rico pecan and Cuban coconut custard?  PIES OF THE (from “Pirates of the …”)

23.  Ode preposition  O’ER

25.  Musician’s deg.  MFA

26.  Auden’s vineyard?  THE GRAPES OF WH (from “The Grapes of Wrath”)

33.  Dawn deity  EOS

34.  Last words  EPILOG

35.  “__ Peach”: Allman Brothers album  EAT A

38.  Subdued  MUTED

40.  Montréal moniker  NOM

41.  Jewel box item  CD-ROM

42.  Gym ball  PROM

43.  Attic window  DORMER

45.  Doctor of music?  DRE

46.  Side dish made with russets and Tanqueray?  POTATOES AU GIN (from “potatoes au gratin”)

49.  Sigma follower  TAU

50.  Hosp. readout  ECG

51.  See 21-Across  CARIBBEAN

57.  “The Kiss” painter  KLIMT

61.  Lot of baloney  CROCK

62.  Legendary musician responsible for what’s missing from 17-, 21-, 26- and 46-Across  PIED PIPER

64.  It’s often stored upside-down  CANOE

65.  City on the Penobscot  ORONO

66.  Have a life  ARE

67.  “Naturalis Historia” author  PLINY

68.  Parlement français division  SENAT

69.  “Bury My Heart at Wounded Knee” author Brown  DEE"
"1584746904-5","https://laxcrossword.com/2013/01/26","Across

1.  Scrapped, at NASA  NO GO

5.  Way to get in  ACCESS CODE

15.  Zipped through  ACED

16.  Like the cap worn by Annette  MOUSE-EARED

17.  One piggy’s portion  NONE

18.  Reducing  CURTAILING

19.  Big blast  N-TEST

21.  Come down hard  TEEM

22.  Smidge  IOTA

23.  Sound from your favorite toy?  YIP

24.  Beguile  AMUSE

26.  Less clumsy  ABLER

27.  Trounce  CLOBBER

29.  Unoriginal  TIRED

30.  Botanical balm  ALOE

31.  It may make honeymooners a bit misty  NIAGARA

34.  Alloy used to make knives  MOLYBDENUM STEEL

39.  Throw money around, in a way  OVERTIP

40.  Jane Austen’s aspiring matchmaker  EMMA

41.  Gives kudos  LAUDS

43.  Hard to read  DEADPAN

45.  Becomes disillusioned  SOURS

46.  Jumper cable connection point  ANODE

48.  “Moreover …”  AND

49.  A passel  TONS

50.  Lead  STAR

51.  Navigational aid  CANAL

53.  Net  AFTER TAXES

56.  “Ciao!”  TATA

57.  Some 19th-century industrialists  RAIL BARONS

58.  Picked out of a lineup  IDED

59.  “They’ve rigged this whole thing!”  THE FIX IS IN!

60.  Cushy  EASY"
"1584746845-1","https://laxcrossword.com/2013/01/31","Across

1.  Treehouse feature  LADDER

7.  Matured, as cheese  AGED

11.  Some condensation  DEW

14.  For one  APIECE

15.  One who’s all action  DOER

16.  Eggs in a clinic  OVA

17.  Illusionist’s effect  PUFF OF SMOKE

19.  Bushranger Kelly  NED

20.  Novelist Wiesel  ELIE

21.  “Days of Thunder” org.  NASCAR

23.  Duck  SHUN

26.  Diplomat’s forte  TACT

28.  Feeds without needing seconds  SATES

30.  Arrive  LAND

31.  Major bore  SNOOZEFEST

33.  Pull (for)  CHEER

35.  Kicked oneself for  RUED

36.  BBQ heat rating  BTU

37.  County fair competition  TRACTOR PULL

41.  Flooring wood  ASH

43.  Busy time for a cuckoo clock  NOON

44.  Italian soccer star Maldini  PAOLO

47.  Many towns have one  MAIN STREET

51.  “Voulez-__”: 1979 ABBA album  VOUS

52.  Big name in foil  ALCOA

53.  Make a fine impression  ETCH

54.  Outer limit  EDGE

55.  Discipline involving slow, steady movement  T’AI CHI

57.  Toppled, as a poplar  HEWN

59.  Goose egg  NIL

60.  1967 #1 hit for The Buckinghams, which can describe 17-, 31-, 37- or 47-Across  KIND OF A DRAG

65.  Traditional London pie-and-mash ingredient  EEL

66.  New newts  EFTS

67.  Stereo knob  TREBLE

68.  Funny, and a bit twisted  WRY

69.  One way to run  RIOT

70.  Nine-ball feature  STRIPE"
"1584746975-14","https://laxcrossword.com/2013/01/17","Across

1.  Vintner’s vessel  TUN

4.  Avis rival  HERTZ

9.  Amazon.com nos.  ISBNS

14.  Bearer of bear cubs, in Madrid  OSA

15.  Cheri who impersonated Judge Judy on “Saturday Night Live”  OTERI

16.  Gardener’s transplant  GRAFT

17.  Sales pro  REP

18.  Double trouble … for a hydrophobic teetotaler?  WATER BOTTLE

20.  Pueblo brick  ADOBE

22.  Stone unit  CARAT

23.  Dance that tells a story  HULA

24.  Skyline haze  SMOG

26.  Id controller  EGO

29.  … for an arachnophobic hermit?  SPIDERMAN

32.  Chest-maker’s wood  CEDAR

34.  Pharmaceutical oil  OLEUM

35.  Arduous  TAXING

36.  … for an acrophobic wallflower?  SUMMIT MEETING

39.  Make a meal of  DINE ON

40.  Apportion  ALLOT

41.  Clubs: Abbr.  ASSNS

42.  … for a xenophobic couch potato?  ALIEN RACE

46.  Shtick  BIT

47.  Long to be with  MISS

48.  This time only  ONCE

49.  Smithy’s tool  ANVIL

52.  Harp (on)  DWELL

53.  … for an agoraphobic soldier?  PUBLIC ENEMY

58.  AAA freebie  MAP

59.  Rockers Van __  HALEN

60.  Not just odd  EERIE

61.  Online qualifier  IMO

62.  Steel plow pioneer  DEERE

63.  Creeps up on  NEARS

64.  Fitting  APT"
"1584747002-23","https://laxcrossword.com/2013/01/08","Across

1.  Allow in  ADMIT

6.  Behind the times  PASSE

11.  Keg insert  TAP

14.  Nasty  SEAMY

15.  Idol whose fans are called Claymates  AIKEN

16.  Acapulco article  UNA

17.  Traditional Christmas dessert  PLUM PUDDING

19.  ER personnel  RNS

20.  Swings about  SLUES

21.  Crunchy snack  CORN NUT

23.  LeBron James, e.g.  NBA STAR

26.  Ruler in old St. Petersburg  TSAR

27.  __ Diamond  HOPE

30.  Sweet spread  GRAPE JELLY

32.  More than vexation  IRE

33.  Red Army leader Trotsky  LEON

34.  Run-of-the-mill  SO-SO

35.  Liquid-Plumr rival  DRANO

37.  Jamaican music genre  SKA

39.  Something to skip at the beach  STONE

42.  Bollywood dress  SARI

44.  Face cream ingredient  ALOE

46.  Kenny G plays one  SAX

47.  Fiber-rich cereal  RAISIN BRAN

50.  Hung on to  KEPT

51.  “Show Boat” novelist Ferber  EDNA

52.  Roger with 17 Grand Slam wins  FEDERER

54.  Shrinking Asian lake  ARAL SEA

56.  Scary bacteria  E COLI

59.  Downturn  DIP

60.  Coffee break treat  PRUNE DANISH

64.  “Little Red Book” chairman  MAO

65.  Chipped in a chip  ANTED

66.  Comics friend of Nancy  ROLLO

67.  Windup  END

68.  Dallied (with)  TOYED

69.  Helped with dinner cleanup–or, a hint to the relationship between the starts of 60-/17-Across and 47-/30-Across  DRIED"
"1584746981-16","https://laxcrossword.com/2013/01/15","null"
"1584747038-28","https://laxcrossword.com/2013/01/03","Across

1.  Old Italian capital  LIRA

5.  “See ya!”  CIAO

9.  Head lights  HALOS

14.  Land with a red, white and green flag  IRAN

15.  Monroe of the NBA  EARL

16.  One whose land has a red, white and green flag  OMANI

17.  King whose true height is the subject of much discussion  KONG

18.  Urban hazard  SMOG

19.  Watch from hiding  SPY ON

20.  Critic’s complaint about the new restaurant “Godot”?  ENDLESS WAITS

23.  Clooney/Damon film about the oil industry  SYRIANA

24.  Like some German nouns  NEUTER

28.  Critic’s complaint about the new restaurant “Charley Horse”?  CRAMPED SPACE

31.  Druid or Wiccan  PAGAN

34.  Baseball stats  RBIS

35.  Ad trailer?  HOC

36.  Like two, say  EVEN

37.  Biblical queendom  SHEBA

39.  Cuba libre ingredient  COLA

40.  Tiny gripe  NIT

41.  Seaman’s saint  ELMO

42.  Censor  BLEEP

43.  Critic’s complaint about the new restaurant “Moon”?  NO ATMOSPHERE

47.  Snare  ENTRAP

48.  The Beatles’ Rigby  ELEANOR

52.  Critic’s complaint about the new restaurant “Double Fault”?  INEPT SERVICE

55.  Buccaneers’ home  TAMPA

58.  Univ. drilling gp.  ROTC

59.  Pre-deal request  ANTE

60.  Glorify  EXALT

61.  “__ Plenty o’ Nuttin'”: Gershwin song  I GOT

62.  Nerd  GEEK

63.  Conical abode  TEPEE

64.  Ages  EONS

65.  They aren’t exact: Abbr.  ESTS"
"1584746994-20","https://laxcrossword.com/2013/01/11","Across

1.  “Gnarly!”  RAD

4.  In a mood  TESTY

9.  Bean variety  FAVA

13.  Sorority character  ETA

14.  Drug giant behind Valium and Klonopin  ROCHE

15.  Posh bathroom fixture  BIDET

16.  Puts out  PUBLISHES

18.  “If on a winter’s night a traveler” writer Calvino  ITALO

19.  Top banana  MR BIG

20.  Longtime Rolling Stones bassist Bill  WYMAN

22.  Each  PER

23.  Sushi options  EELS

24.  Feature of an old mattress  SAG

25.  Dollars for quarters  RENT

27.  Fly out of Africa?  TSETSE

29.  Acorns, someday  OAK TREES

33.  Liqueur made from elderflowers  SAMBUCA

35.  Realm  AREA

36.  O staff, briefly  EDS

39.  Cravat holders  TIEPINS

41.  Las Vegas-to-Tijuana dir.  SSW

42.  Distort, as with false data, with “up”  HOKE

44.  Scroll source  DEAD SEA

46.  Like part of a special delivery?  TWINBORN

48.  “I’m With Stupid” T-shirt markings  ARROWS

52.  Linguist Chomsky  NOAM

53.  Headphone wearers, usually  DJS

55.  Literary honey lover  POOH

56.  Flock member  EWE

58.  “You can __ horse …”  LEAD A

60.  Nintendo princess kidnapped by Ganon  ZELDA

61.  Alvin, Simon and Theodore  NAMES

63.  Tinseltown  MOVIELAND

65.  The Donald’s first  IVANA

66.  Whacks  SWATS

67.  Concern on the course  LIE

68.  Canonical hour  SEXT

69.  First stage  ONSET

70.  Pet store reactions  AWS"
"1584746891-2","https://laxcrossword.com/2013/01/29","Across

1.  Bit of high jinks  ANTIC

6.  Eastern European  SLAV

10.  Sounds of disapproval  TSKS

14.  Team leader  COACH

15.  Hang (around) in a hammock, say  LAZE

16.  Dos cubed  OCHO

17.  Second-largest Indian city  DELHI

18.  Play parts  ACTS

19.  Say grace, say  PRAY

20.  *4-0 World Series win, e.g.  CLEAN SWEEP

22.  Salad fish  TUNA

23.  Make illegal  BAN

24.  Spy for Moses  CALEB

26.  Bit of schoolyard disagreement  AM SO!

29.  Gardner of Hollywood  AVA

32.  Under the covers  IN BED

35.  “The Shield” force, briefly  LAPD

36.  Diabolical sorts  FIENDS

39.  “Norma __”  RAE

40.  Pooling vehicle  CAR

41.  *Broom alternative  DUST MOP

42.  www bookmark  URL

43.  Org. with many specialists  AMA

44.  Online newsgroup system  USENET

45.  Nora was his mistress  ASTA

46.  Justin Timberlake’s former band  ‘N SYNC

48.  Fir feller  AXE

49.  Bok __: cabbage  CHOY

50.  Nudges  POKES

53.  Corrosive stuff  LYE

55.  Cashless deal  SWAP

57.  Designed for two functions, and a hint to the answers to starred clues  DOUBLE DUTY

63.  Buffalo’s lake  ERIE

64.  Not nuts  SANE

65.  Run to the window  GO SEE

66.  Gave for a while  LENT

67.  Malevolent  EVIL

68.  Great enthusiasm  GUSTO

69.  Colony critters  ANTS

70.  Riga resident  LETT

71.  Scatter about  STREW"
"1584747011-24","https://laxcrossword.com/2013/01/07","Across

1.  Red-headed clown  BOZO

5.  Enzyme ending  -ASE

8.  Oak nut  ACORN

13.  With, on le menu  AVEC

14.  Tiger Woods’s ex  ELIN

15.  “Bad, Bad” Brown, in a Croce song  LEROY

16.  DEA agent  NARC

17.  1958 film that won nine Oscars  GIGI

18.  Not showy  PLAIN

19.  Dreary late fall forecast  CLOUDY AND CHILLY

22.  Spices (up)  PEPS

23.  Fond du __, Wisconsin  LAC

24.  Lend a hand  ASSIST

27.  Airport safety gp.  TSA

29.  Bible book following the Gospels  ACTS

33.  Brew, as tea  STEEP

34.  Cheese on a ham sandwich  SWISS

36.  Primitive shelter  HUT

37.  Food truck order  HOT DOG WITH CHILI

40.  Quarterback Manning  ELI

41.  Big name in air conditioning  TRANE

42.  Have pizza delivered, say  EAT IN

43.  Put in the mail  SEND

45.  Give the once-over  EYE

46.  Spellbound  ENRAPT

47.  Go __: lose it  APE

49.  “Trinity” novelist Leon  URIS

50.  South American seaport  VALPARAISO, CHILE

58.  Giraffe relative  OKAPI

59.  Gulf War missile  SCUD

60.  Online periodical, for short  E-MAG

61.  Easily wrinkled fabric  LINEN

62.  The Beatles’ “__ Comes the Sun”  HERE

63.  “Scram!”  SHOO

64.  Hägar’s dog  SNERT

65.  Mind-reading, briefly  ESP

66.  Throw easily  TOSS"
"1584746932-7","https://laxcrossword.com/2013/01/24","Across

1.  Polynesian tongue  MAORI

6.  Early Democrat’s foe  WHIG

10.  Diary closer  HASP

14.  Pump name  EXXON

15.  Premoistened cloth  WIPE

16.  Still-life subject  EWER

17.  Luminous Spanish king?  REY OF LIGHT (from “ray of light”)

19.  Practitioner of meditation  YOGI

20.  Lassie’s “In a pig’s eye!”  NAE

21.  Monopolize  HOG

22.  Seed source of omega-3  FLAX

23.  Back-of-the-book items  ADDENDA

27.  Bloodhound’s 48-Across  NOSE

29.  Chart containing only threes?  TREY TABLE (from “tray table”)

31.  Salt’s “Halt!”  AVAST

35.  Flat hat  TAM

36.  Like a comics Pea?  SWEE’

37.  Close tightly, as one’s hand  CLENCH

38.  Groggy response  I’M UP

40.  “Welcome to Maui!”  ALOHA

42.  Seldom seen, to Seneca  RARA

43.  Grinch portrayer  CARREY

45.  Myrna’s “Thin Man” role  NORA

47.  KoKo or Yum-Yum, in Lilian Jackson Braun mysteries  CAT

48.  Plus  ASSET

49.  Turkish sty leader?  BEY OF PIGS (from “Bay of Pigs”)

51.  Bulldogs’ home  YALE

53.  Seven-time MLB All-Star Soriano  ALFONSO

54.  Fair  JUST

57.  Sighing sounds  AHS

59.  Consume  EAT

60.  Bee’s charge  OPIE

61.  Rock in actress Susan’s path, perhaps?  DEY TRIPPER (from “day tripper”)

66.  Hon  DOLL

67.  Lang of Smallville  LANA

68.  “Monster” (2003) co-star  RICCI

69.  Like many LAX flights  INTL

70.  First place?  EDEN

71.  Trap  SETUP"
"1584747017-26","https://laxcrossword.com/2013/01/05","Across

1.  Style associated with Prince Valiant  PAGEBOY

8.  It may hold old records  JUKE BOX

15.  Oakland’s county  ALAMEDA

16.  Duds on a field  UNIFORM

17.  Layered German dessert  STRUDEL

18.  Bouquet item  RED ROSE

19.  Covers, as a bare spot  SODS

20.  Substantial, sumwise  TIDY

22.  Overly possessive type?  DEMON

23.  Get on  AGE

24.  Not berthed  ASEA

25.  Point  AIM

26.  Long runs  TEN-KS

28.  Fabric ridge  WALE

30.  “Listen, ewe!”  BAA

33.  2010 film about George VI  THE KING’S SPEECH

37.  “If all goes well”  I HOPE SO

38.  Tops with tops  HOODIES

39.  Not related  BESIDE THE POINT

41.  Field fare, briefly  MRE

42.  Surface statistic  AREA

43.  Sanctioned  LEGIT

45.  Heat source?  IRE

46.  Shiloh battlers  REBS

49.  One of two teams to join the NCAA Big 12 in 2012  TCU

50.  Dance popularized by Perez Prado  MAMBO

53.  Emanating heat  SEXY

54.  Result of excessive heat  CHAR

55.  Jungle movie costume  APE SUIT

57.  “Argo” director  AFFLECK

59.  Strength  POTENCY

60.  Heat measure  CALORIE

61.  Singlet synthetic  SPANDEX

62.  Work that ends badly  TRAGEDY"
"1584746895-3","https://laxcrossword.com/2013/01/28","Across

1. Paper used for envelopes : MANILA

7. Teensy kitchen invader : ANT

10. Thick-bodied river fish : CHUB

14. Lessened : ABATED

15. Critical hosp. area : ICU

16. Take down with a wrecking ball : RAZE

17. Trade for cash : REDEEM

18. Musical based on ABBA songs : MAMMA MIA

20. Golfer Snead’s nickname : SLAMMIN’ SAMMY

22. “I don’t care which” : ANY

23. Naval petty officer : YEOMAN

27. Lasting mark : SCAR

30. __ and gown : CAP

33. John, Paul, George or Ringo : NAME

34. Go without food : STARVE

36. “True __”: Wayne film : GRIT

39. CFO’s degree : MBA

40. One on a board : COMMITTEE MEMBER

43. Swiss peak : ALP

44. Gas in a sign : NEON

45. Knocks for a loop : FLOORS

46. Scallion relative : LEEK

48. Space-saving abbr. : ETC

50. Team statistic : LOSS

51. Finale : ENDING

54. Selling fast : HOT

56. Whale or dolphin : MARINE MAMMAL

63. Campbell’s soup slogan, and a hint to the puzzle theme found in 18-, 20-, 40- and 56-Across : MMMM GOOD

66. “Seinfeld” woman : ELAINE

67. Albany’s canal : ERIE

68. Actress Hagen : UTA

69. Sticky-toed lizards : GECKOS

70. Tadpole’s breathing organ : GILL

71. LPGA star Se Ri __ : PAK

72. Be agreeable : ASSENT"
"1584746991-19","https://laxcrossword.com/2013/01/12","Across

1.  One who heads south for the winter  SNOWBIRD

9.  Try to reach  AIM FOR

15.  1959 Mystics song title word repeated before “Oh my darlin’ don’t you cry”  HUSHABYE

16.  Legendary Irish princess  ISOLDE

17.  Modern means of connecting  ETHERNET

18.  Attach, in a way  GLUE ON

19.  Job follow-up?  PSALMS

20.  Unvarying  SAME

21.  Pinkish yellow  PEACH

24.  “Island in the Sun” novelist Waugh  ALEC

26.  ATM initials  NCR

29.  Study of change?  NUMISMATICS

33.  Steams  IRES

35.  1971 crime thriller with four sequels  DIRTY HARRY

36.  Defunct defense gp.  SEATO

38.  Cultural prog. funder  NEA

39.  Reduces to bits  RICES

40.  Some annual victims  APRIL FOOLS

43.  Romance novel emotion  LUST

44.  Rookies  NEW RECRUITS

46.  P and Q, in D.C.  STS

47.  __-Z: collectible Camaro  IROC

48.  Govt. issue  T-NOTE

50.  Last Stuart queen  ANNE

52.  Full-bodied  ROBUST

56.  United  WEDDED

59.  Shimmer with color  OPALESCE

61.  Get excited  AROUSE

62.  Novelist Chinua Achebe, by birth  NIGERIAN

63.  Southern legume  COWPEA

64.  Rock from a sock  SEE STARS"
